,PLAYER,VA,ALL-STAR
0,Anthony Davis,508.5,1.0
1,Kyrie Irving,386.5,1.0
2,Ed Davis,100.0,0.0
3,Bobby Portis,72.6,0.0
4,Donovan Mitchell,202.5,0.0
5,Jeremy Lamb,167.6,0.0
6,Jaren Jackson Jr.,114.8,0.0
7,J.J. Barea,62.4,0.0
8,T.J. Warren,120.9,0.0
9,Monte Morris,130.2,0.0
10,Thaddeus Young,152.8,0.0
11,Boban Marjanovic,106.6,0.0
12,Otto Porter Jr.,136.9,0.0
13,Trae Young,160.5,0.0
14,Bojan Bogdanovic,181.3,0.0
15,Dewayne Dedmon,115.1,0.0
16,Omri Casspi,0.0,0.0
17,Meyers Leonard,50.4,0.0
18,Khris Middleton,160.6,1.0
19,D.J. Augustin,136.2,0.0
20,Trey Burke,59.6,0.0
21,Jayson Tatum,161.7,0.0
22,Jeff Teague,85.8,1.0
23,Ante Zizic,64.6,0.0
24,Jamal Murray,135.6,0.0
25,Kelly Olynyk,83.3,0.0
26,Shabazz Napier,62.4,0.0
27,Damian Jones,29.5,0.0
28,Nemanja Bjelica,85.6,0.0
29,Derrick White,88.8,0.0
30,Wendell Carter Jr.,78.2,0.0
31,Jonas Valanciunas,173.8,0.0
32,Jabari Parker,79.9,0.0
33,Derrick Jones Jr.,61.7,0.0
34,Reggie Jackson,117.3,0.0
35,Robin Lopez,84.3,0.0
36,Tony Parker,59.4,1.0
37,Gordon Hayward,111.3,1.0
38,Mo Bamba,50.6,0.0
39,Aaron Gordon,116.1,0.0
40,Kelly Oubre Jr.,124.7,0.0
41,Stephen Curry,384.7,1.0
42,Marcus Morris,92.0,0.0
43,Emmanuel Mudiay,75.7,0.0
44,Sam Dekker,43.2,0.0
45,Malik Beasley,103.4,0.0
46,JaMychal Green,56.8,0.0
47,Terrence Ross,113.4,0.0
48,Goran Dragic,29.8,0.0
49,Kyle Kuzma,93.8,0.0
50,Rudy Gobert,435.3,0.0
51,Caris LeVert,45.4,0.0
52,Brook Lopez,113.3,1.0
53,Delon Wright,65.7,0.0
54,JJ Redick,118.6,0.0
55,Luke Kornet,23.5,0.0
56,Jeremy Lin,62.0,0.0
57,Zaza Pachulia,39.5,0.0
58,T.J. McConnell,57.9,0.0
59,Noah Vonleh,65.5,0.0
60,Paul George,479.6,1.0
61,Aron Baynes,30.2,0.0
62,Jerami Grant,113.5,0.0
63,Harry Giles III,27.3,0.0
64,Bogdan Bogdanovic,78.7,0.0
65,Jordan Bell,22.5,0.0
66,Tim Hardaway Jr.,86.1,0.0
67,Joe Harris,92.8,0.0
68,Michael Kidd-Gilchrist,50.2,0.0
69,Greg Monroe,0.0,0.0
70,Brandon Ingram,82.3,0.0
71,Damian Lillard,449.2,1.0
72,Davis Bertans,62.2,0.0
73,Terry Rozier,58.5,0.0
74,Jeff Green,84.0,0.0
75,Elfrid Payton,31.7,0.0
76,Tyus Jones,42.1,0.0
77,Robert Covington,52.6,0.0
78,Andre Iguodala,60.2,1.0
79,Jaylen Brown,70.6,0.0
80,Fred VanVleet,47.6,0.0
81,Jonas Jerebko,28.3,0.0
82,Montrezl Harrell,324.4,0.0
83,Ricky Rubio,56.1,0.0
84,Gary Harris,47.9,0.0
85,Marcus Smart,60.3,0.0
86,Trey Lyles,24.9,0.0
87,Nene Hilario,17.3,0.0
88,Harrison Barnes,79.8,0.0
89,Maximilian Kleber,28.9,0.0
90,Jusuf Nurkic,345.2,0.0
91,Marvin Williams,43.7,0.0
92,Cristiano Felicio,10.9,0.0
93,David Nwaba,26.8,0.0
94,Jonathan Isaac,36.8,0.0
95,Yogi Ferrell,23.6,0.0
96,Marcin Gortat,0.0,0.0
97,Kyle Anderson,45.8,0.0
98,Kent Bazemore,47.9,0.0
99,Alec Burks,45.5,0.0
100,Giannis Antetokounmpo,578.5,1.0
101,Clint Capela,342.7,0.0
102,Joe Ingles,72.1,0.0
103,Pat Connaughton,28.7,0.0
104,Marco Belinelli,50.9,0.0
105,Dario Saric,30.3,0.0
106,Zach Collins,19.0,0.0
107,Dennis Smith Jr.,34.5,0.0
108,Amir Johnson,13.4,0.0
109,Jalen Brunson,29.2,0.0
110,Tyler Johnson,47.5,0.0
111,Andre Drummond,388.9,1.0
112,Maurice Harkless,32.6,0.0
113,DeMarre Carroll,43.3,0.0
114,Lance Stephenson,29.0,0.0
115,Quinn Cook,17.9,0.0
116,Omari Spellman,12.1,0.0
117,LaMarcus Aldridge,402.4,1.0
118,Jonah Bolden,7.0,0.0
119,Draymond Green,23.8,1.0
120,Rajon Rondo,21.0,1.0
121,Shai Gilgeous-Alexander,37.3,0.0
122,Kris Dunn,25.1,0.0
123,Nicolas Batum,57.6,0.0
124,Rodions Kurucs,27.6,0.0
125,Luke Kennard,28.4,0.0
126,Domantas Sabonis,256.8,0.0
127,Taurean Prince,31.5,0.0
128,Eric Gordon,44.7,0.0
129,Miles Bridges,30.6,0.0
130,Markieff Morris,8.8,0.0
131,Rondae Hollis-Jefferson,26.2,0.0
132,Trevor Ariza,50.7,0.0
133,Danny Green,40.7,0.0
134,Thon Maker,4.0,0.0
135,Hassan Whiteside,260.7,0.0
136,Andrew Wiggins,43.8,0.0
137,Antonio Blakeney,13.2,0.0
138,Lonzo Ball,18.3,0.0
139,Damyean Dotson,29.8,0.0
140,Shaquille Harrison,12.4,0.0
141,Gerald Green,25.4,0.0
142,Kyle Korver,22.0,1.0
143,John Collins,248.5,0.0
144,Furkan Korkmaz,12.0,0.0
145,Tyreke Evans,19.8,0.0
146,Juan Hernangomez,2.6,0.0
147,E'Twaun Moore,18.0,0.0
148,Cameron Payne,0.0,0.0
149,George Hill,9.0,0.0
150,Cory Joseph,13.6,0.0
151,Evan Fournier,32.4,0.0
152,Shaun Livingston,6.0,0.0
153,Kenneth Faried,97.5,0.0
154,Cedi Osman,28.9,0.0
155,Tyson Chandler,10.8,1.0
156,Mikal Bridges,26.5,0.0
157,Bryn Forbes,25.2,0.0
158,Dante Exum,3.7,0.0
159,James Ennis III,13.9,0.0
160,Troy Daniels,5.7,0.0
161,Doug McDermott,12.4,0.0
162,Landry Shamet,5.7,0.0
163,Evan Turner,13.6,0.0
164,Mitchell Robinson,169.9,0.0
165,Alfonzo McKinnie,7.4,0.0
166,Matthew Dellavedova,1.5,0.0
167,Collin Sexton,3.2,0.0
168,Dorian Finney-Smith,12.6,0.0
169,James Johnson,-6.7,0.0
170,Ryan Arcidiacono,-0.9,0.0
171,Shelvin Mack,-0.8,0.0
172,Tony Snell,7.6,0.0
173,Wesley Matthews,11.1,0.0
174,Dante Cunningham,4.7,0.0
175,Lou Williams,286.8,0.0
176,Ish Smith,-2.1,0.0
177,Nik Stauskas,4.4,0.0
178,Devin Harris,-2.2,1.0
179,Jerian Grant,-4.6,0.0
180,Langston Galloway,2.8,0.0
181,Markelle Fultz,-2.9,0.0
182,Chasson Randle,-4.0,0.0
183,Hamidou Diallo,-0.1,0.0
184,Wayne Ellington,-1.1,0.0
185,Enes Kanter,219.0,0.0
186,Devonte' Graham,-4.0,0.0
187,Josh Jackson,-3.3,0.0
188,Sterling Brown,-1.6,0.0
189,Reggie Bullock,-4.4,0.0
190,Kevin Huerter,-5.5,0.0
191,Mike Muscala,-21.3,0.0
192,De'Anthony Melton,-10.4,0.0
193,OG Anunoby,-10.2,0.0
194,James Harden,675.2,1.0
195,Thomas Bryant,181.9,0.0
196,DeAndre' Bembry,-16.6,0.0
197,Justin Jackson,-12.7,0.0
198,D.J. Wilson,-14.7,0.0
199,Rodney McGruder,-16.4,0.0
200,Mario Hezonja,-10.4,0.0
201,Abdel Nader,-6.6,0.0
202,Torrey Craig,-16.0,0.0
203,Royce O'Neale,-17.3,0.0
204,Jamal Crawford,-14.8,0.0
205,PJ Tucker,-37.7,0.0
206,Derrick Favors,237.4,0.0
207,Iman Shumpert,-20.0,0.0
208,Josh Hart,-27.9,0.0
209,CJ Miles,-14.7,0.0
210,Kenrich Williams,-12.7,0.0
211,Justin Holiday,-38.6,0.0
212,Wilson Chandler,-18.1,0.0
213,Bruno Caboclo,-8.2,0.0
214,Stanley Johnson,-21.4,0.0
215,Gary Clark,-20.9,0.0
216,Frank Jackson,-29.1,0.0
217,Blake Griffin,332.7,1.0
218,Mike Scott,-42.6,0.0
219,Chandler Hutchison,-21.9,0.0
220,Anthony Tolliver,-34.1,0.0
221,Wayne Selden,-30.8,0.0
222,Darius Miller,-43.9,0.0
223,Dirk Nowitzki,-22.7,1.0
224,Kevin Knox,-55.3,0.0
225,Josh Okogie,-46.5,0.0
226,Semi Ojeleye,-24.2,0.0
227,Mike Conley,328.0,0.0
228,Garrett Temple,-60.9,0.0
229,Dragan Bender,-22.3,0.0
230,Isaiah Canaan,0.0,0.0
231,Austin Rivers,-80.9,0.0
232,Glenn Robinson III,-20.3,0.0
233,Allen Crabbe,-45.1,0.0
234,Wesley Iwundu,-41.3,0.0
235,Avery Bradley,-81.6,0.0
236,Jonathon Simmons,-44.4,0.0
237,Jose Calderon,-35.3,0.0
238,Russell Westbrook,331.1,1.0
239,Tyrone Wallace,-27.2,0.0
240,Ian Clark,-32.7,0.0
241,Jerryd Bayless,-27.9,0.0
242,Elie Okobo,-46.5,0.0
243,Jared Dudley,-55.2,0.0
244,Lance Thomas,-31.6,0.0
245,Solomon Hill,-40.9,0.0
246,Isaiah Briscoe,-35.0,0.0
247,Bruce Brown,-70.0,0.0
248,Alex Abrines,0.0,0.0
249,Kemba Walker,352.3,1.0
250,Terrance Ferguson,-96.5,0.0
251,Frank Ntilikina,-62.2,0.0
252,Sviatoslav Mykhailiuk,-28.7,0.0
253,Wesley Johnson,-35.7,0.0
254,Treveon Graham,-43.2,0.0
255,Julius Randle,299.1,0.0
256,Richaun Holmes,146.6,0.0
257,JaVale McGee,199.4,0.0
258,Jimmy Butler,282.8,1.0
259,Karl-Anthony Towns,542.3,1.0
260,Deandre Ayton,294.6,0.0
261,DeMarcus Cousins,77.5,1.0
262,Bradley Beal,387.8,1.0
263,Danilo Gallinari,253.4,0.0
264,Dwight Powell,168.3,0.0
265,Ben Simmons,313.9,1.0
266,Willy Hernangomez,92.9,0.0
267,Al Horford,232.1,1.0
268,Derrick Rose,180.5,1.0
269,Jrue Holiday,308.5,1.0
270,Nikola Jokic,502.9,0.0
271,Khem Birch,61.0,0.0
272,DeMar DeRozan,295.7,1.0
273,Luka Doncic,273.0,0.0
274,Eric Bledsoe,238.2,0.0
275,Nerlens Noel,105.8,0.0
276,Devin Booker,243.0,0.0
277,Jakob Poeltl,124.9,0.0
278,DeAndre Jordan,234.0,1.0
279,Jarrett Allen,227.2,0.0
280,Kawhi Leonard,401.2,1.0
281,D'Angelo Russell,245.5,1.0
282,Chris Paul,172.5,1.0
283,Zach LaVine,242.6,0.0
284,Steven Adams,277.0,0.0
285,Joakim Noah,78.0,1.0
286,Ivica Zubac,93.8,0.0
287,Tristan Thompson,125.3,0.0
288,Mason Plumlee,144.8,0.0
289,Pascal Siakam,227.1,0.0
290,Serge Ibaka,208.2,0.0
291,LeBron James,409.3,1.0
292,Ivan Rabb,47.8,0.0
293,Rudy Gay,172.9,0.0
294,Larry Nance Jr.,147.5,0.0
295,Jahlil Okafor,77.9,0.0
296,Cheick Diallo,65.8,0.0
